"Viewed Products List Template","Viewed Products List Template"
"Visible In","Visible In"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"Year","سال"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"Your Recently Compared","Your Recently Compared"
"Your Recently Viewed","Your Recently Viewed"
"undefined","undefined"
